utt,Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Noise type 2,Noise type 3,Source link,Collector,label
20230925_sbsnews5_4,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=xfmJWgI_KPw,KWONWOO JEONG,bonafide
20230914sbsenter_4,NEWS CASTER,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=UaOf9_zSr0c,KWONWOO JEONG,bonafide
podcast_1,PARK JAEHO,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=SpcNa1WtVxY,KWONWOO JEONG,bonafide
230926_HanJuneTV_6,HanJune,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=qu9OqX_-3NU,WOONGJAE LEE,bonafide
230722_Deep_9,YoonTaeYong,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=l158Zac6AIU,WOONGJAE LEE,bonafide
KKONGCHI_5,TTS_Shorttube,TTS,No,Korean,Male,Teenager,Music,-,-,https://youtube.com/shorts/ApaDJZ5wJEI?si=I-7ynGkBAHFKuvsP,INSEOK LEE,spoof
20230927_ytnweather_1,WON LEE DA,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=L-I_XTjBax8,KWONWOO JEONG,bonafide
typecast_changbae_5,TTS_changbae,TTS,No,Korean,Male,Elder,-,-,-,https://app.typecast.ai/ko/editor/652e2efd0307cc9327e94b41,WOONGJAE LEE,spoof
footballmaster_5,TTS_footballmaster,TTS,No,Korean,Female,Teenager,Music,-,-,https://www.youtube.com/watch?v=BEp1k3gEP44,WOONGJAE LEE,spoof
20230914_mbcnews_japan_2,Lee WhiJun(Anouncer),-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=FzDl6dq2yzc,INSEOK LEE,bonafide
Morgan_Freeman_Singularity_4,Morgan Freeman,VC,No,English,Male,Adult,Music,-,-,https://youtu.be/oxXpB9pSETo?si=qJXmXYz8ZSOsQzLM,INSEOK LEE,spoof
GangWonFC_NEWS_9,TTS_HOTISSUE,TTS,No,Korean,Female,Teenager,Music,-,-,https://youtu.be/q5sbCEOt8lA?si=1c6gML--3E5ePADV,INSEOK LEE,spoof
Howtomake_AIcover_2,TTS,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/PWQVcYml2ZA?si=ISO1e3aqKGO7RkFq,INSEOK LEE,spoof
HaeRin_AIcover_FirstLove_9,HaeRin,VC,No,Korean,Female,Teenager,Music,-,-,https://www.youtube.com/watch?v=OaVKYrhywkU,WOONGJAE LEE,spoof
AI_SWINGS_DITTO_2,MOON JIHOON,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=hfmuhMitznY,KWONWOO JEONG,spoof
230916_Deep_9,KimGyuNam,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=brxfNmLcwuU,WOONGJAE LEE,bonafide
2021_04_17_AI_ANCHOR_2,BYUN SANGWOOK,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=Ud2vfh1T0cU,KWONWOO JEONG,spoof
Double_9,TTS_Baseball,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/SSgZZeVSFBs?si=7wHRf6tDCCSr6Xzk,INSEOK LEE,spoof
221124_Hansal_8,HaRu,-,No,Korean,Female,Adult,Random noise,Music,Sound effect,https://www.youtube.com/watch?v=EGegU_bsZMs,WOONGJAE LEE,bonafide
20230925_sbsnews3_3,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=GCOiANiDgqQ,KWONWOO JEONG,bonafide
FreddieMercury_AIcover_oortCloud_10,Freddie Mercury,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ARgjMf-76-c,WOONGJAE LEE,spoof
YounHa_AIcover_sim_2,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof
230916TOTvsSHE_8,SPORT CASTER(TOT),-,No,English,Male,Adult,Crowded,-,-,https://youtu.be/hOBs_Ddtr18?si=sCgjh_yf3O7HadM9,INSEOK LEE,bonafide
elle_yeji_10,YEJI,-,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=f3-sOcpMexE,KWONWOO JEONG,bonafide
GScampus_8,GScampus,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,WOONGJAE LEE,spoof
201127_ItalyFabri_1,Fabri,-,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=uhJpo8si6-4,WOONGJAE LEE,bonafide
Donghyun_8,"Obama,Trump",TTS,Yes,English,Male,Adult,Music,Sound effect,-,https://youtu.be/Mpo-i4aphrM?si=Ha9147VoJ2do-u9L,INSEOK LEE,spoof
ConanShow_Carpool_4,"Conan, Kersti",-,Yes,English,Female+Male,Adult,Random noise,-,-,https://youtu.be/ZtCf0d8Nz5U?si=41hJFvab0tZ-W9fV,INSEOK LEE,bonafide
chuucandoit_hair_7,Chuu ( Kim Ji Woo ),-,Yes,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=7MihoRON4ew,WOONGJAE LEE,bonafide
LOL_WORLDS_REACTION_9,TTS_Hmi,TTS,No,Korean,Female,Adult,Music,-,-,https://youtu.be/V-cKu6-o4lE?si=4Qzau_jWntoUmA0w,INSEOK LEE,spoof
kkultube_2,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof
kimjungeun_lol_7,KimJungEun,TTS,No,Korean,Male,Adult,Reverb,Sound effect,-,https://youtu.be/XtJ45TbTM10?si=8_LMeExbGlFAB4WE,INSEOK LEE,spoof
TED_Cuddly_9,Dan Finkel,-,No,English,Male,Adult,-,-,-,https://youtu.be/z-ZEfxAL9SI?si=ELtooN9Nlz1SMAHp,INSEOK LEE,bonafide
Mark_Zuckerberg_Harvard_Address_8,Mark Zuckerberg,-,No,English,Male,Adult,Music,Reverb,-,https://youtu.be/C5pPsmqwEis?si=nAFaO_bgwNUjAXZr,INSEOK LEE,bonafide
GangWonFC_NEWS_3,TTS_HOTISSUE,TTS,No,Korean,Female,Teenager,Music,-,-,https://youtu.be/q5sbCEOt8lA?si=1c6gML--3E5ePADV,INSEOK LEE,spoof
