sid,utt,codec,src,attack,label,trimed,subset,vocoder,s1,s2,s3,s4,btse_feat_embedded,aasistssl_feat_embedded,vocosig_feat_embedded
LA_0019,DF_E_3286133,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[  5.0999465 -36.8073   ],[14.343022 59.8865  ],[81.66113 16.28204]
LA_0017,DF_E_3827859,low_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ 47.080593 -24.985464],[38.029045   7.4659286],[-40.74659   33.136482]
LA_0039,DF_E_3710666,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 15.787869 -68.68748 ],[ 8.933389 62.724213],[-64.91725   54.092125]
LA_0038,DF_E_2441351,high_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[64.62938  43.082676],[-7.0278754 41.21127  ],[-34.621433 -29.261742]
VCC2SF2,DF_E_3270860,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,[-21.091818  30.90504 ],[-58.076824 -54.027756],[ 17.15505  -64.038864]
LA_0068,DF_E_4687293,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 48.250816 -38.202633],[48.2404     -0.27369794],[40.52484     0.16865264]
LA_0018,DF_E_4423282,low_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ -2.3224428 -54.518475 ],[34.82205 72.29877],[ -8.7547655 -87.1081   ]
LA_0007,DF_E_4918016,low_m4a,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[32.670265 35.40685 ],[-17.247843  59.649403],[-32.558174  35.049725]
LA_0033,DF_E_4337071,high_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ 49.31696  -30.194044],[66.40345    4.3828273],[-17.615368  31.649324]
TMM1,DF_E_4243505,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 6.365629 26.912148],[-35.71592 -51.51387],[  2.4502115 -63.40659  ]
LA_0015,DF_E_3970796,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[  9.640236 -64.2795  ],[50.555065 44.579388],[41.744377  -1.5957158]
VCC2SM4,DF_E_2361238,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 28.472458 -56.764503],[46.84136    2.2239769],[ 26.670385 -73.88353 ]
TMM1,DF_E_3877186,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[-18.428051    6.1689534],[-43.185207 -76.752914],[43.87391  20.929873]
LA_0032,DF_E_3019281,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[59.274506 24.689415],[11.005545 42.033905],[ 87.50663  -24.507038]
LA_0032,DF_E_4054127,high_m4a,asvspoof,-,bonafide,trim,hidden,bonafide,-,-,-,-,[21.39367    3.4296403],[-28.774042 -63.489426],[ 39.00871 -68.33209]
LA_0028,DF_E_4921378,high_m4a,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[58.554306  9.343908],[28.228354 54.280212],[ -1.4484152 -63.142944 ]
LA_0033,DF_E_2881714,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[36.627502 15.041132],[-12.316807  39.362755],[-29.002924  36.906048]
TEM1,DF_E_4537586,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 57.93863 -48.69763],[38.388676   4.6850367],[49.515697 52.347313]
VCC2SM1,DF_E_2214572,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 48.219196 -53.32614 ],[ 61.64353  -20.517498],[45.919525 19.762089]
SEF2,DF_E_3244715,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 46.47431  -10.980067],[69.54766  14.780734],[-55.64027   20.307903]
LA_0016,DF_E_3596027,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 30.536787 -60.898693],[ 63.45872  -30.069864],[ 19.148514 -66.690056]
LA_0043,DF_E_4377193,low_mp3,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ 43.990223 -48.806293],[40.829098 12.423889],[-15.563957 -22.381664]
LA_0023,DF_E_3221954,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[40.689255 11.259925],[11.079217 43.00119 ],[-61.28795     6.7060995]
LA_0047,DF_E_2798183,low_m4a,asvspoof,-,bonafide,trim,hidden,bonafide,-,-,-,-,[-20.435242   6.381457],[-28.734001 -63.534782],[  4.2853436 -49.08335  ]
LA_0046,DF_E_3962367,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[58.413406  8.484396],[27.54436 77.97575],[-26.334936 -79.66122 ]
LA_0009,DF_E_2741690,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 77.84543  -21.893183],[25.831934 53.302204],[ 35.94254  -71.212875]
LA_0023,DF_E_4110287,nocodec,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[40.692005 11.260074],[ 2.338115 33.270298],[-59.41582   17.042906]
LA_0022,DF_E_4396781,low_m4a,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ -5.614673 -39.99994 ],[15.923388 56.906292],[ 45.133995 -62.54577 ]
SEM2,DF_E_4792418,low_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 50.384094 -17.894085],[ 57.074966 -45.316742],[47.064816 25.967997]
LA_0021,DF_E_3698539,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 47.192677 -25.196136],[ 44.06575 -56.47942],[-46.75271  71.8296 ]
LA_0037,DF_E_4159830,low_m4a,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[-13.186435 -50.820587],[-18.800318  65.798515],[ -9.833091 -87.84228 ]
LA_0046,DF_E_3226586,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 84.30846  -27.317768],[-15.6993885  65.827156 ],[-32.203754 -80.56242 ]
