sid,utt,codec,src,attack,label,trimed,subset,vocoder,s1,s2,s3,s4,btse_feat_embedded,aasistssl_feat_embedded,vocosig_feat_embedded
LA_0025,DF_E_2653213,high_m4a,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ 23.942402 -64.17402 ],[-31.569038 -76.201385],[-57.07357  58.28508]
VCC2TM2,DF_E_3305982,low_m4a,vcc2018,HUB-N20,spoof,notrim,eval,traditional_vocoder,HUB,N20,FM,-,[-36.959675   -2.0072834],[ 52.3959   -35.284893],[68.078835 43.49451 ]
TEF1,DF_E_3215340,oggm4a,vcc2020,Task1-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team31,MF,E,[-75.79145    4.041004],[ -6.2524915 -10.820773 ],[26.649834 35.52352 ]
LA_0043,DF_E_2211905,high_ogg,asvspoof,A12,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,[19.025446 23.797949],[-64.01631    -7.0526166],[41.326805 79.0378  ]
VCC2TM1,DF_E_2809804,nocodec,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,MM,-,[ 28.701689 -30.746088],[ 10.317632 -20.973022],[56.423683 16.638166]
TEF1,DF_E_2408782,low_m4a,vcc2020,Task1-team13,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team13,FF,E,[ 36.54698  -50.600388],[-64.508316   8.196916],[57.898956  -4.8511086]
TGM1,DF_E_3779361,low_ogg,vcc2020,Task2-team33,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team33,MM,G,[-13.145219 -22.174078],[52.077065 33.63651 ],[ 4.32431 70.23469]
LA_0016,DF_E_2183256,low_mp3,asvspoof,A13,spoof,notrim,progress,traditional_vocoder,-,-,-,-,[-40.437702  33.304268],[44.51383  31.727137],[-25.119135 -62.22759 ]
TMM1,DF_E_4486370,nocodec,vcc2020,Task2-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team11,MM,M,[54.538277 61.462975],[-63.81623   1.87194],[66.083786 34.30102 ]
LA_0043,DF_E_4368333,nocodec,asvspoof,-,bonafide,notrim,progress,bonafide,-,-,-,-,[ 14.315368 -78.5664  ],[ -5.2758327 -88.828766 ],[-68.07473  48.02002]
LA_0021,DF_E_2631441,low_ogg,asvspoof,A16,spoof,trim,hidden,waveform_concatenation,-,-,-,-,[-48.249474  63.657864],[-15.35586   -5.745528],[-16.061968 -33.725327]
TEF2,DF_E_3920638,high_mp3,vcc2020,Task1-team21,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team21,FF,E,[-37.794598 -27.171587],[14.151763 30.28136 ],[59.986557 17.569214]
LA_0001,DF_E_4360516,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 23.195295 -68.10029 ],[-30.44302 -76.59153],[-69.57994  44.08514]
TMM1,DF_E_2257333,low_mp3,vcc2020,Task2-team19,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team19,FM,M,[-15.205652     0.18097958],[  6.6530647 -23.062572 ],[ -2.733332 -39.18057 ]
VCC2TF2,DF_E_3555893,mp3m4a,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,MF,-,[-8.611729 46.674973],[19.939735 87.090294],[ 79.24466 -33.52367]
TEM1,DF_E_3296345,low_ogg,vcc2020,Task1-team21,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team21,FM,E,[ 59.262337 -41.64077 ],[-4.0704865 43.431553 ],[-2.951825 30.967857]
VCC2TF1,DF_E_4055079,high_ogg,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,MF,-,[-4.4368095 19.367918 ],[11.48995  47.226498],[ -4.734543 -15.892896]
TGF1,DF_E_4050703,high_m4a,vcc2020,Task2-team16,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team16,FF,G,[-17.164173  12.204025],[29.991665 22.686752],[ 1.2355386 94.42919  ]
LA_0021,DF_E_3711669,low_ogg,asvspoof,A16,spoof,trim,hidden,waveform_concatenation,-,-,-,-,[-59.433147  46.132435],[-38.713604 -43.589645],[-58.699085 -37.653553]
TEF1,DF_E_4534231,low_ogg,vcc2020,Task1-team03,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team03,FF,E,[33.203598 83.004616],[ 29.193583 -44.360527],[ 4.3959575 98.04459  ]
LA_0044,DF_E_2820319,high_m4a,asvspoof,A09,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[ 28.243143 -31.425352],[-47.6823  -48.42893],[ 27.823536 -80.89529 ]
TEF1,DF_E_2985785,mp3m4a,vcc2020,Task1-team29,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team29,FF,E,[-52.52455    -5.0615525],[ -4.526666 -50.61122 ],[-13.604456 -33.486897]
SEM1,DF_E_2503844,mp3m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,[ 19.20369 -72.30664],[-21.008883 -78.98711 ],[-36.40592  77.89177]
TGM1,DF_E_2359871,mp3m4a,vcc2020,Task2-team09,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team09,MM,G,[-30.706293 -32.76007 ],[ 39.747387 -48.922005],[ 2.081169 56.713123]
LA_0028,DF_E_3828035,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,[-14.575422 -88.55445 ],[ -7.126079 -79.711174],[-66.62624  50.68728]
VCC2TM1,DF_E_2382730,low_ogg,vcc2018,SPO-N05,spoof,notrim,eval,traditional_vocoder,SPO,N05,MM,-,[53.452488 40.65809 ],[20.90204   -2.2172422],[-16.651833 -15.644019]
TFM1,DF_E_4016756,high_ogg,vcc2020,Task2-team29,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team29,FM,F,[-13.539277  70.805016],[-54.94912    -7.5744257],[-71.95708   11.793115]
TGM1,DF_E_4821573,low_m4a,vcc2020,Task2-team03,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team03,FM,G,[-87.84643    0.701673],[ 38.527786 -12.433381],[-19.809238 -37.921062]
LA_0032,DF_E_2268124,low_ogg,asvspoof,A19,spoof,notrim,eval,traditional_vocoder,-,-,-,-,[-52.02318  -63.870438],[-30.065771  38.486027],[28.659695   3.0067546]
TEF1,DF_E_2409208,oggm4a,vcc2020,Task1-team28,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team28,FF,E,[-13.462627 -15.090243],[-18.694517 -14.941821],[ 40.66624  -38.028454]
TEF2,DF_E_3445954,oggm4a,vcc2020,Task1-team32,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team32,MF,E,[80.90459  22.256823],[ -9.783815 -35.718372],[-4.7545686  3.7566493]
TEF1,DF_E_3934379,high_m4a,vcc2020,Task1-team32,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team32,MF,E,[79.22812 40.06429],[ -2.0641773 -49.75     ],[-68.08664  -10.195043]
VCC2TM2,DF_E_4230678,oggm4a,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,FM,-,[39.45858  25.258682],[55.20354  16.664772],[ 83.454155 -24.02839 ]
VCC2TF1,DF_E_2293339,nocodec,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,MF,-,[17.473005    0.36413583],[39.599716 -8.435439],[-56.147152 -72.123985]
VCC2TF2,DF_E_4291537,low_mp3,vcc2018,HUB-N13,spoof,notrim,eval,traditional_vocoder,HUB,N13,FF,-,[26.50945   -1.4324462],[45.48666  27.982426],[ 41.80529  -72.652214]
