utt,Speaker name,TTS or VC,Is multi-speaker?,Language,Gender,Age,Noise type 1,Noise type 2,Noise type 3,Source link,Collector,label,vocosig_feat_embedded,aasistssl_feat_embedded,btse_feat_embedded
20230925_sbsnews5_4,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=xfmJWgI_KPw,KWONWOO JEONG,bonafide,[37.974194 18.742065],[-42.890488   -6.4610357],[ 20.745766 -13.83872 ]
20230914sbsenter_4,NEWS CASTER,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=UaOf9_zSr0c,KWONWOO JEONG,bonafide,[-50.318047 -13.477304],[ 13.126472 -23.649574],[-17.440805 -13.89955 ]
podcast_1,PARK JAEHO,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=SpcNa1WtVxY,KWONWOO JEONG,bonafide,[46.011917  7.785446],[-4.1694736 51.2385   ],[ 21.837065 -13.9802  ]
230926_HanJuneTV_6,HanJune,-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=qu9OqX_-3NU,WOONGJAE LEE,bonafide,[-30.714277  36.348606],[-44.792313 -13.365062],[36.854435 25.38938 ]
230722_Deep_9,YoonTaeYong,-,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=l158Zac6AIU,WOONGJAE LEE,bonafide,[-22.658081 -17.406118],[-4.52395  49.959877],[-44.26724     6.8404546]
KKONGCHI_5,TTS_Shorttube,TTS,No,Korean,Male,Teenager,Music,-,-,https://youtube.com/shorts/ApaDJZ5wJEI?si=I-7ynGkBAHFKuvsP,INSEOK LEE,spoof,[-37.106792   7.273022],[ 25.967127 -19.43177 ],[24.80636  45.471756]
20230927_ytnweather_1,WON LEE DA,-,No,Korean,Female,Adult,-,-,-,https://www.youtube.com/watch?v=L-I_XTjBax8,KWONWOO JEONG,bonafide,[49.45831   -8.5661125],[-9.360082 -4.156587],[36.389194 27.48447 ]
typecast_changbae_5,TTS_changbae,TTS,No,Korean,Male,Elder,-,-,-,https://app.typecast.ai/ko/editor/652e2efd0307cc9327e94b41,WOONGJAE LEE,spoof,[-25.685572  11.91202 ],[-51.555153 -30.821775],[-2.5680451 50.238434 ]
footballmaster_5,TTS_footballmaster,TTS,No,Korean,Female,Teenager,Music,-,-,https://www.youtube.com/watch?v=BEp1k3gEP44,WOONGJAE LEE,spoof,[-34.48715  -25.009916],[-22.517933  16.568413],[-28.268837  -7.18087 ]
20230914_mbcnews_japan_2,Lee WhiJun(Anouncer),-,No,Korean,Male,Adult,-,-,-,https://www.youtube.com/watch?v=FzDl6dq2yzc,INSEOK LEE,bonafide,[ 51.576134 -16.96435 ],[-2.3458382e-02  5.4693424e+01],[-32.617176   -4.1092734]
Morgan_Freeman_Singularity_4,Morgan Freeman,VC,No,English,Male,Adult,Music,-,-,https://youtu.be/oxXpB9pSETo?si=qJXmXYz8ZSOsQzLM,INSEOK LEE,spoof,[42.15125  13.074963],[-41.439423 -13.44898 ],[ 5.5303555 52.40101  ]
GangWonFC_NEWS_9,TTS_HOTISSUE,TTS,No,Korean,Female,Teenager,Music,-,-,https://youtu.be/q5sbCEOt8lA?si=1c6gML--3E5ePADV,INSEOK LEE,spoof,[ -6.314076 -46.623894],[ 49.80277  -10.089199],[ 16.837925 -18.3006  ]
Howtomake_AIcover_2,TTS,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/PWQVcYml2ZA?si=ISO1e3aqKGO7RkFq,INSEOK LEE,spoof,[-21.034216 -14.355951],[-39.081482    1.6189322],[37.51948 21.34305]
HaeRin_AIcover_FirstLove_9,HaeRin,VC,No,Korean,Female,Teenager,Music,-,-,https://www.youtube.com/watch?v=OaVKYrhywkU,WOONGJAE LEE,spoof,[-9.895374 13.509987],[21.553223 45.5136  ],[-10.712756 -54.690166]
AI_SWINGS_DITTO_2,MOON JIHOON,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=hfmuhMitznY,KWONWOO JEONG,spoof,[-50.25267    -7.0815773],[-41.575542    7.0190496],[14.547477 12.57298 ]
230916_Deep_9,KimGyuNam,-,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=brxfNmLcwuU,WOONGJAE LEE,bonafide,[ -3.30203  -30.519936],[  9.550285 -26.04074 ],[13.055721   2.4399705]
2021_04_17_AI_ANCHOR_2,BYUN SANGWOOK,TTS,No,Korean,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=Ud2vfh1T0cU,KWONWOO JEONG,spoof,[  9.47652 -50.8166 ],[27.740446 -9.097052],[22.72441 46.84927]
Double_9,TTS_Baseball,TTS,No,Korean,Male,Adult,Music,-,-,https://youtu.be/SSgZZeVSFBs?si=7wHRf6tDCCSr6Xzk,INSEOK LEE,spoof,[23.527706   1.8676827],[ 39.825832 -17.252565],[  4.304006 -56.25247 ]
221124_Hansal_8,HaRu,-,No,Korean,Female,Adult,Random noise,Music,Sound effect,https://www.youtube.com/watch?v=EGegU_bsZMs,WOONGJAE LEE,bonafide,[-20.383263  13.591518],[-50.898552 -25.047052],[37.595554 13.693883]
20230925_sbsnews3_3,REPORTER,-,No,Korean,Male,Adult,Random noise,-,-,https://www.youtube.com/watch?v=GCOiANiDgqQ,KWONWOO JEONG,bonafide,[50.82531   -4.9734592],[-7.751876 -4.070728],[19.419693 32.524323]
FreddieMercury_AIcover_oortCloud_10,Freddie Mercury,VC,No,Mixed,Male,Adult,Music,-,-,https://www.youtube.com/watch?v=ARgjMf-76-c,WOONGJAE LEE,spoof,[ 12.403644 -21.488453],[-45.154163   4.739552],[  8.688187 -56.30822 ]
YounHa_AIcover_sim_2,YounHa,VC,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=LWPf7l3-W_A,WOONGJAE LEE,spoof,[-16.647953  13.736727],[-36.34257    7.222229],[ -6.449439 -55.191772]
230916TOTvsSHE_8,SPORT CASTER(TOT),-,No,English,Male,Adult,Crowded,-,-,https://youtu.be/hOBs_Ddtr18?si=sCgjh_yf3O7HadM9,INSEOK LEE,bonafide,[ 16.897165 -42.355766],[ 13.145574 -25.815737],[-39.497665  11.604224]
elle_yeji_10,YEJI,-,No,Korean,Female,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=f3-sOcpMexE,KWONWOO JEONG,bonafide,[24.014698 29.99577 ],[-12.594808  42.075935],[34.147236  -2.7982817]
GScampus_8,GScampus,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=eXcekCx7Bxo,WOONGJAE LEE,spoof,[-43.86987  -23.188505],[-44.806957    1.6915668],[30.636927  -1.2719276]
201127_ItalyFabri_1,Fabri,-,No,Korean,Male,Adult,Music,Sound effect,-,https://www.youtube.com/watch?v=uhJpo8si6-4,WOONGJAE LEE,bonafide,[-26.101517  11.570891],[-34.574547   9.000733],[-7.7930474  4.5115967]
Donghyun_8,"Obama,Trump",TTS,Yes,English,Male,Adult,Music,Sound effect,-,https://youtu.be/Mpo-i4aphrM?si=Ha9147VoJ2do-u9L,INSEOK LEE,spoof,[-28.535711  40.481655],[18.874813 51.038124],[-35.262604 -34.91621 ]
ConanShow_Carpool_4,"Conan, Kersti",-,Yes,English,Female+Male,Adult,Random noise,-,-,https://youtu.be/ZtCf0d8Nz5U?si=41hJFvab0tZ-W9fV,INSEOK LEE,bonafide,[ 11.170539 -49.78575 ],[  3.2719536 -24.904043 ],[-5.163158   1.5799196]
chuucandoit_hair_7,Chuu ( Kim Ji Woo ),-,Yes,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=7MihoRON4ew,WOONGJAE LEE,bonafide,[ 3.6985223 42.515224 ],[32.696144 30.154196],[-37.730244   -2.2642596]
LOL_WORLDS_REACTION_9,TTS_Hmi,TTS,No,Korean,Female,Adult,Music,-,-,https://youtu.be/V-cKu6-o4lE?si=4Qzau_jWntoUmA0w,INSEOK LEE,spoof,[-34.648815    8.4619665],[20.686522 48.37167 ],[-0.2302946  2.630694 ]
kkultube_2,TTS_kkultube,TTS,No,Korean,Female,Adult,Music,-,-,https://www.youtube.com/watch?v=Vo9B_QDr0Vc,WOONGJAE LEE,spoof,[ 17.593277 -34.714737],[ 30.26994  -22.921045],[-11.776402 -15.9503  ]
kimjungeun_lol_7,KimJungEun,TTS,No,Korean,Male,Adult,Reverb,Sound effect,-,https://youtu.be/XtJ45TbTM10?si=8_LMeExbGlFAB4WE,INSEOK LEE,spoof,[-35.154587 -25.454058],[-12.153006  40.752426],[-20.618774   8.651607]
TED_Cuddly_9,Dan Finkel,-,No,English,Male,Adult,-,-,-,https://youtu.be/z-ZEfxAL9SI?si=ELtooN9Nlz1SMAHp,INSEOK LEE,bonafide,[17.147491 35.00142 ],[28.63322  34.628662],[16.97168  18.247625]
Mark_Zuckerberg_Harvard_Address_8,Mark Zuckerberg,-,No,English,Male,Adult,Music,Reverb,-,https://youtu.be/C5pPsmqwEis?si=nAFaO_bgwNUjAXZr,INSEOK LEE,bonafide,[49.80975  -6.531468],[-23.852186  11.05268 ],[5.295603  2.5546362]
GangWonFC_NEWS_3,TTS_HOTISSUE,TTS,No,Korean,Female,Teenager,Music,-,-,https://youtu.be/q5sbCEOt8lA?si=1c6gML--3E5ePADV,INSEOK LEE,spoof,[ 15.127166 -25.939945],[ 32.65285  -21.155664],[ 23.606989  -14.6864805]
